"","node","ethcat","agecat","treat","Trade_sex","Group_sex","degree","age.gp1","age.gp2","age.gp3","age.gp4","black","white","other","Tr","NoTr","Trade","NoTrade","Group","NoGroup"
"718",718,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,0,1
"719",719,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,1,0,0,0,1,1,0,1,0
"720",720,"black","age.gp4","NoTr","NoTrade","NoGroup",3,0,2,0,1,2,1,0,1,2,0,3,2,1
"721",721,"black","age.gp4","NoTr","NoTrade","NoGroup",6,0,2,1,3,4,2,0,1,5,1,5,3,3
"722",722,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,0,1,0,1
"723",723,"black","age.gp4","NoTr","NoTrade","NoGroup",4,2,1,0,1,4,0,0,1,3,1,3,1,3
"724",724,"black","age.gp4","NoTr","NoTrade","NoGroup",4,0,0,1,3,2,2,0,1,3,0,4,2,2
"725",725,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,0,1,1,0,0,1,1,0
"726",726,"black","age.gp4","NoTr","NoTrade","NoGroup",6,0,3,2,1,3,3,0,2,4,0,6,3,3
"727",727,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,1,0,1,0
"728",728,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,0,1,0,1
"729",729,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,0,3,2,1,4,0,0,5,1,4,3,2
"730",730,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,2,2,2,3,0,0,5,1,4,3,2
"731",731,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,2,3,0,2,3,0,2,3,0,5,4,1
"732",732,"black","age.gp4","NoTr","NoTrade","NoGroup",7,0,0,2,5,5,2,0,0,7,3,4,6,1
"733",733,"black","age.gp4","NoTr","NoTrade","NoGroup",2,0,0,1,1,1,1,0,0,2,0,2,1,1
"734",734,"black","age.gp4","NoTr","NoTrade","NoGroup",4,1,2,0,1,1,3,0,1,3,0,4,3,1
"735",735,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,1,0,1,0,0,1,1,0
"736",736,"black","age.gp4","NoTr","NoTrade","NoGroup",2,0,0,0,2,1,1,0,0,2,0,2,1,1
"737",737,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,1,0,0,1,0,1
"738",738,"black","age.gp4","NoTr","NoTrade","NoGroup",3,0,1,1,1,2,1,0,2,1,1,2,2,1
"739",739,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,0,0,5,5,0,0,0,5,1,4,0,5
"740",740,"black","age.gp4","NoTr","NoTrade","NoGroup",4,0,0,1,3,2,2,0,0,4,0,4,2,2
"741",741,"black","age.gp4","NoTr","NoTrade","NoGroup",3,1,0,1,1,1,1,1,0,3,0,3,1,2
"742",742,"black","age.gp4","NoTr","NoTrade","NoGroup",4,0,0,2,2,3,1,0,0,4,0,4,2,2
"743",743,"white","age.gp2","Tr","NoTrade","Group",17,0,9,4,4,2,13,2,8,9,0,17,15,2
"744",744,"white","age.gp2","Tr","NoTrade","Group",20,5,5,5,5,1,16,3,10,10,1,19,16,4
"745",745,"white","age.gp2","Tr","NoTrade","Group",18,4,7,4,3,1,16,1,5,13,0,18,12,6
"746",746,"white","age.gp2","Tr","NoTrade","Group",24,4,11,7,2,2,16,6,7,17,3,21,13,11
"747",747,"white","age.gp2","Tr","NoTrade","Group",31,2,16,11,2,2,27,2,17,14,3,28,18,13
"748",748,"white","age.gp4","NoTr","NoTrade","NoGroup",3,1,0,1,1,0,2,1,1,2,0,3,3,0
"749",749,"white","age.gp4","NoTr","NoTrade","NoGroup",5,0,2,0,3,1,4,0,1,4,0,5,4,1
"750",750,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,0,1,0,1,1,0
"751",751,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,0,1
"752",752,"white","age.gp4","NoTr","NoTrade","NoGroup",6,1,2,0,3,1,5,0,2,4,0,6,2,4
"753",753,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,0,1,0,1,1,0
"754",754,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,1,0,0,1,1,0
"755",755,"white","age.gp4","NoTr","NoTrade","NoGroup",4,0,1,1,2,2,2,0,1,3,2,2,3,1
"756",756,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,0,1,1,0,1,0
"757",757,"white","age.gp4","NoTr","NoTrade","NoGroup",7,0,1,3,3,1,6,0,1,6,2,5,6,1
"758",758,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,0,1,1,0,1,0
"759",759,"white","age.gp4","NoTr","NoTrade","NoGroup",1,1,0,0,0,0,1,0,1,0,0,1,0,1
"760",760,"white","age.gp4","NoTr","NoTrade","NoGroup",3,0,1,0,2,0,3,0,2,1,0,3,2,1
"761",761,"white","age.gp4","NoTr","NoTrade","NoGroup",2,0,0,1,1,0,2,0,0,2,0,2,1,1
"762",762,"white","age.gp4","NoTr","NoTrade","NoGroup",5,2,0,1,2,0,4,1,1,4,0,5,2,3
"763",763,"white","age.gp4","NoTr","NoTrade","NoGroup",5,0,0,2,3,0,5,0,2,3,0,5,4,1
"764",764,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,0,1,1,0,1,0
"765",765,"white","age.gp4","NoTr","NoTrade","NoGroup",6,1,1,1,3,0,5,1,2,4,0,6,5,1
"766",766,"white","age.gp4","NoTr","NoTrade","NoGroup",6,1,0,2,3,0,5,1,4,2,0,6,3,3
"767",767,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,0,1,0,1,0,1,0,1
"768",768,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,1,0
"769",769,"white","age.gp4","NoTr","NoTrade","NoGroup",7,0,1,0,6,1,6,0,3,4,0,7,6,1
"770",770,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,0,1,0,1,0,1
"771",771,"white","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,0,4,0,5,0,3,2,0,5,3,2
"772",772,"white","age.gp4","NoTr","NoTrade","NoGroup",3,0,0,1,2,0,3,0,2,1,0,3,3,0
"773",773,"white","age.gp4","NoTr","NoTrade","NoGroup",4,0,3,1,0,0,3,1,0,4,0,4,2,2
"774",774,"white","age.gp4","NoTr","NoTrade","NoGroup",8,0,2,3,3,0,8,0,3,5,1,7,6,2
"775",775,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,1,0
"776",776,"white","age.gp4","NoTr","NoTrade","NoGroup",6,2,2,1,1,1,5,0,2,4,0,6,3,3
"777",777,"white","age.gp4","NoTr","NoTrade","NoGroup",7,1,2,1,3,0,7,0,3,4,1,6,5,2
"778",778,"white","age.gp4","NoTr","NoTrade","NoGroup",6,1,0,3,2,1,4,1,2,4,0,6,4,2
"779",779,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,0,1,0,1,1,0
"780",780,"white","age.gp2","NoTr","NoTrade","NoGroup",8,0,5,2,1,2,4,2,3,5,0,8,5,3
"781",781,"white","age.gp2","NoTr","NoTrade","NoGroup",7,0,3,2,2,1,5,1,3,4,1,6,5,2
"782",782,"white","age.gp2","NoTr","NoTrade","NoGroup",11,0,8,3,0,3,5,3,4,7,1,10,6,5
"783",783,"white","age.gp2","NoTr","NoTrade","NoGroup",7,0,2,3,2,0,6,1,3,4,0,7,6,1
"784",784,"white","age.gp2","NoTr","NoTrade","NoGroup",8,1,3,2,2,0,7,1,2,6,0,8,7,1
"785",785,"black","age.gp1","Tr","NoTrade","NoGroup",11,6,3,2,0,2,7,2,2,9,2,9,7,4
"786",786,"black","age.gp1","Tr","NoTrade","NoGroup",10,8,1,1,0,7,2,1,4,6,5,5,3,7
"787",787,"black","age.gp1","Tr","NoTrade","NoGroup",4,2,1,0,1,2,1,1,0,4,0,4,0,4
"788",788,"black","age.gp1","Tr","NoTrade","NoGroup",8,3,1,3,1,2,6,0,2,6,1,7,5,3
"789",789,"black","age.gp1","Tr","NoTrade","NoGroup",12,5,1,4,2,6,4,2,1,11,1,11,3,9
"790",790,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,0,1
"791",791,"white","age.gp4","NoTr","NoTrade","NoGroup",6,0,2,1,3,0,5,1,2,4,0,6,4,2
"792",792,"white","age.gp4","NoTr","NoTrade","NoGroup",7,1,2,0,4,1,5,1,1,6,0,7,3,4
"793",793,"white","age.gp4","NoTr","NoTrade","NoGroup",5,0,2,2,1,0,5,0,2,3,0,5,5,0
"794",794,"white","age.gp4","NoTr","NoTrade","NoGroup",8,1,2,1,4,0,8,0,3,5,0,8,7,1
"795",795,"white","age.gp4","NoTr","NoTrade","NoGroup",3,1,1,1,0,0,1,2,1,2,0,3,2,1
"796",796,"white","age.gp4","NoTr","NoTrade","NoGroup",1,1,0,0,0,0,1,0,0,1,0,1,1,0
"797",797,"white","age.gp4","NoTr","NoTrade","NoGroup",8,1,3,1,3,1,5,2,3,5,1,7,4,4
"798",798,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,1,0,0,1,1,0
"799",799,"white","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,2,2,1,4,0,2,3,0,5,3,2
"800",800,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,0,1,1,0
"801",801,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,1,0
"802",802,"white","age.gp4","NoTr","NoTrade","NoGroup",6,0,2,2,2,0,6,0,3,3,0,6,5,1
"803",803,"white","age.gp4","NoTr","NoTrade","NoGroup",3,0,0,0,3,0,3,0,3,0,0,3,3,0
"804",804,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,1,0
"805",805,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,1,0,1,0,0,1,1,0
"806",806,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,1,0,0,1,0,1
"807",807,"white","age.gp4","NoTr","NoTrade","NoGroup",7,0,1,4,2,0,7,0,2,5,0,7,4,3
"808",808,"white","age.gp4","NoTr","NoTrade","NoGroup",2,0,0,0,2,0,2,0,0,2,0,2,2,0
"809",809,"white","age.gp4","NoTr","NoTrade","NoGroup",2,0,1,0,1,0,2,0,1,1,0,2,2,0
"810",810,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,1,0,0,1,1,0
"811",811,"white","age.gp4","NoTr","NoTrade","NoGroup",5,0,0,1,4,0,5,0,4,1,0,5,5,0
"812",812,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,0,1,1,0,1,0
"813",813,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,1,0,0,1,0,1
"814",814,"white","age.gp4","NoTr","NoTrade","NoGroup",5,0,3,0,2,0,4,1,2,3,0,5,3,2
"815",815,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,0,1
"816",816,"white","age.gp4","NoTr","NoTrade","NoGroup",6,0,2,2,2,1,5,0,5,1,0,6,3,3
"817",817,"white","age.gp4","NoTr","NoTrade","NoGroup",6,1,1,1,3,2,4,0,2,4,0,6,2,4
"818",818,"white","age.gp4","NoTr","NoTrade","NoGroup",1,1,0,0,0,0,0,1,0,1,0,1,1,0
"819",819,"white","age.gp4","NoTr","NoTrade","NoGroup",7,1,1,3,2,1,6,0,4,3,0,7,3,4
"820",820,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,1,0,1,0,0,1,1,0
"821",821,"white","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,0,1,1,0,0,1,1,0
"822",822,"white","age.gp3","NoTr","NoTrade","NoGroup",9,2,3,1,3,0,7,2,3,6,0,9,7,2
"823",823,"white","age.gp3","NoTr","NoTrade","NoGroup",12,2,5,4,1,1,9,2,4,8,0,12,8,4
"824",824,"white","age.gp3","NoTr","NoTrade","NoGroup",6,1,3,2,0,0,5,1,4,2,0,6,4,2
"825",825,"white","age.gp3","NoTr","NoTrade","NoGroup",11,0,3,5,3,2,9,0,4,7,1,10,8,3
"826",826,"white","age.gp3","NoTr","NoTrade","NoGroup",3,0,1,1,1,1,1,1,0,3,1,2,1,2
"827",827,"white","age.gp3","NoTr","NoTrade","NoGroup",12,0,5,5,2,2,9,1,6,6,1,11,11,1
"828",828,"white","age.gp3","NoTr","NoTrade","NoGroup",6,2,1,1,2,1,4,1,2,4,0,6,2,4
"829",829,"white","age.gp3","NoTr","NoTrade","NoGroup",11,1,2,4,4,0,9,2,4,7,1,10,8,3
"830",830,"white","age.gp3","NoTr","NoTrade","NoGroup",10,0,3,2,5,2,8,0,4,6,1,9,3,7
"831",831,"white","age.gp3","NoTr","NoTrade","NoGroup",9,2,1,3,3,1,8,0,1,8,2,7,4,5
"832",832,"white","age.gp3","NoTr","NoTrade","NoGroup",9,3,4,1,1,2,7,0,2,7,3,6,5,4
"833",833,"white","age.gp3","NoTr","NoTrade","NoGroup",8,2,3,3,0,1,6,1,3,5,1,7,2,6
"834",834,"white","age.gp3","NoTr","NoTrade","NoGroup",12,3,3,5,1,1,9,2,4,8,1,11,6,6
"835",835,"white","age.gp3","NoTr","NoTrade","NoGroup",5,0,2,3,0,0,5,0,1,4,0,5,3,2
"836",836,"white","age.gp3","NoTr","NoTrade","NoGroup",9,1,5,2,1,1,7,1,5,4,1,8,6,3
"837",837,"white","age.gp2","NoTr","NoTrade","Group",30,2,11,9,8,2,28,0,15,15,0,30,19,11
"838",838,"white","age.gp2","NoTr","NoTrade","Group",25,0,11,7,7,3,21,1,11,14,3,22,17,8
"839",839,"white","age.gp2","NoTr","NoTrade","Group",24,0,16,5,3,2,18,4,10,14,1,23,19,5
"840",840,"white","age.gp2","NoTr","NoTrade","Group",27,2,14,6,5,3,22,2,16,11,2,25,22,5
"841",841,"white","age.gp2","NoTr","NoTrade","Group",24,0,15,6,3,3,19,2,12,12,1,23,13,11
"842",842,"white","age.gp2","Tr","NoTrade","NoGroup",8,2,3,2,1,1,5,2,1,7,1,7,4,4
"843",843,"white","age.gp2","Tr","NoTrade","NoGroup",10,1,2,3,4,1,9,0,4,6,1,9,8,2
"844",844,"white","age.gp2","Tr","NoTrade","NoGroup",10,0,5,2,3,0,10,0,5,5,0,10,5,5
"845",845,"white","age.gp2","Tr","NoTrade","NoGroup",11,0,7,2,2,0,11,0,5,6,1,10,7,4
"846",846,"white","age.gp2","Tr","NoTrade","NoGroup",6,0,3,1,2,2,4,0,2,4,1,5,5,1
"847",847,"other","age.gp2","Tr","NoTrade","Group",10,1,4,1,4,1,9,0,6,4,1,9,5,5
"848",848,"other","age.gp2","Tr","NoTrade","Group",7,0,5,2,0,2,5,0,1,6,0,7,5,2
"849",849,"other","age.gp2","Tr","NoTrade","Group",15,0,5,7,3,3,12,0,4,11,1,14,11,4
"850",850,"other","age.gp2","Tr","NoTrade","Group",12,2,1,5,4,1,11,0,1,11,1,11,10,2
"851",851,"other","age.gp2","Tr","NoTrade","Group",14,2,7,5,0,3,11,0,5,9,0,14,9,5
"852",852,"other","age.gp2","Tr","NoTrade","Group",10,0,3,4,3,1,9,0,4,6,1,9,8,2
"853",853,"other","age.gp2","Tr","NoTrade","Group",10,0,8,1,1,1,9,0,4,6,0,10,9,1
"854",854,"other","age.gp2","Tr","NoTrade","Group",13,2,4,2,5,2,11,0,3,10,1,12,8,5
"855",855,"other","age.gp2","Tr","NoTrade","Group",9,1,5,3,0,0,9,0,6,3,0,9,7,2
"856",856,"other","age.gp2","Tr","NoTrade","Group",6,0,3,2,1,0,6,0,2,4,0,6,3,3
"857",857,"other","age.gp2","Tr","NoTrade","Group",8,0,6,1,1,1,7,0,4,4,1,7,6,2
"858",858,"other","age.gp2","Tr","NoTrade","Group",14,0,9,4,1,5,9,0,7,7,0,14,7,7
"859",859,"other","age.gp2","Tr","NoTrade","Group",8,0,3,5,0,1,7,0,3,5,1,7,7,1
"860",860,"other","age.gp2","Tr","NoTrade","Group",10,0,3,1,6,1,9,0,3,7,0,10,9,1
"861",861,"other","age.gp2","Tr","NoTrade","Group",14,1,6,4,3,4,10,0,3,11,1,13,9,5
"862",862,"other","age.gp2","Tr","NoTrade","Group",10,0,5,2,3,3,7,0,1,9,2,8,8,2
"863",863,"other","age.gp2","Tr","NoTrade","Group",4,0,3,1,0,0,4,0,2,2,0,4,4,0
"864",864,"other","age.gp2","Tr","NoTrade","Group",7,0,2,2,3,2,5,0,3,4,1,6,6,1
"865",865,"other","age.gp2","Tr","NoTrade","Group",6,0,4,2,0,0,6,0,2,4,1,5,4,2
"866",866,"other","age.gp2","Tr","NoTrade","Group",7,0,5,2,0,1,6,0,3,4,0,7,5,2
"867",867,"other","age.gp2","Tr","NoTrade","Group",11,0,3,4,4,2,9,0,3,8,0,11,7,4
"868",868,"other","age.gp2","Tr","NoTrade","Group",10,1,5,2,2,1,9,0,5,5,1,9,7,3
"869",869,"other","age.gp2","Tr","NoTrade","Group",9,0,4,4,1,1,8,0,4,5,1,8,5,4
"870",870,"other","age.gp2","Tr","NoTrade","Group",12,0,6,4,2,1,11,0,5,7,0,12,8,4
"871",871,"other","age.gp2","Tr","NoTrade","Group",4,0,3,1,0,1,3,0,2,2,0,4,2,2
"872",872,"other","age.gp2","Tr","NoTrade","Group",11,0,4,3,4,3,8,0,1,10,1,10,6,5
"873",873,"other","age.gp2","Tr","NoTrade","Group",5,0,1,4,0,3,2,0,1,4,0,5,2,3
"874",874,"white","age.gp3","NoTr","Trade","Group",18,2,6,4,6,1,15,2,6,12,0,18,10,8
"875",875,"white","age.gp3","NoTr","Trade","Group",16,1,6,6,3,3,13,0,7,9,0,16,13,3
"876",876,"white","age.gp3","NoTr","Trade","Group",15,3,7,4,1,1,13,1,11,4,1,14,10,5
"877",877,"white","age.gp3","NoTr","Trade","Group",22,1,9,4,8,3,16,3,8,14,1,21,14,8
"878",878,"white","age.gp3","NoTr","Trade","Group",13,2,3,6,2,1,10,2,5,8,0,13,7,6
"879",879,"white","age.gp3","NoTr","Trade","Group",22,6,3,5,8,1,18,3,10,12,3,19,14,8
"880",880,"white","age.gp3","NoTr","Trade","Group",15,3,5,3,4,0,12,3,8,7,1,14,8,7
"881",881,"white","age.gp3","NoTr","Trade","Group",14,2,4,5,3,0,14,0,9,5,1,13,9,5
"882",882,"white","age.gp3","NoTr","Trade","Group",17,3,6,4,4,3,12,2,8,9,0,17,9,8
"883",883,"white","age.gp3","NoTr","Trade","Group",9,1,3,1,4,1,5,3,4,5,2,7,6,3
"884",884,"white","age.gp3","NoTr","Trade","Group",10,2,2,3,3,1,9,0,3,7,0,10,6,4
"885",885,"white","age.gp3","NoTr","Trade","Group",10,1,4,5,0,1,8,1,3,7,0,10,6,4
"886",886,"white","age.gp3","NoTr","Trade","Group",21,2,11,6,2,4,15,2,14,7,0,21,10,11
"887",887,"white","age.gp3","NoTr","Trade","Group",25,2,14,6,3,2,19,4,10,15,1,24,16,9
"888",888,"white","age.gp3","NoTr","Trade","Group",15,1,12,2,0,3,11,1,10,5,2,13,13,2
"889",889,"other","age.gp1","Tr","NoTrade","NoGroup",5,0,2,1,2,1,4,0,2,3,1,4,4,1
"890",890,"other","age.gp1","Tr","NoTrade","NoGroup",3,1,1,1,0,1,2,0,0,3,0,3,2,1
"891",891,"other","age.gp1","Tr","NoTrade","NoGroup",6,5,1,0,0,0,6,0,0,6,1,5,2,4
"892",892,"other","age.gp1","Tr","NoTrade","NoGroup",3,0,3,0,0,1,2,0,3,0,1,2,3,0
"893",893,"other","age.gp1","Tr","NoTrade","NoGroup",4,1,0,1,2,0,4,0,0,4,0,4,2,2
"894",894,"other","age.gp1","Tr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,1,0,0,1,1,0
"895",895,"other","age.gp1","Tr","NoTrade","NoGroup",3,2,0,1,0,0,3,0,1,2,2,1,2,1
"896",896,"other","age.gp1","Tr","NoTrade","NoGroup",7,4,0,3,0,1,6,0,1,6,1,6,4,3
"897",897,"other","age.gp1","Tr","NoTrade","NoGroup",6,2,0,3,1,1,5,0,1,5,0,6,1,5
"898",898,"other","age.gp1","Tr","NoTrade","NoGroup",5,1,2,1,1,0,5,0,1,4,1,4,5,0
"899",899,"other","age.gp1","Tr","NoTrade","NoGroup",3,2,1,0,0,0,2,1,0,3,0,3,1,2
"900",900,"other","age.gp1","Tr","NoTrade","NoGroup",4,2,2,0,0,1,3,0,2,2,0,4,3,1
"901",901,"other","age.gp1","Tr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,0,1,0,1
"902",902,"other","age.gp1","Tr","NoTrade","NoGroup",2,1,0,0,1,1,1,0,0,2,0,2,1,1
"903",903,"other","age.gp1","Tr","NoTrade","NoGroup",6,0,1,3,2,1,5,0,1,5,1,5,4,2
"904",904,"other","age.gp1","Tr","NoTrade","NoGroup",1,0,0,1,0,0,1,0,0,1,0,1,1,0
"905",905,"other","age.gp1","Tr","NoTrade","NoGroup",3,2,0,1,0,0,3,0,1,2,0,3,0,3
"906",906,"other","age.gp1","Tr","NoTrade","NoGroup",4,2,0,2,0,0,4,0,0,4,1,3,3,1
"907",907,"other","age.gp1","Tr","NoTrade","NoGroup",3,2,0,0,1,0,3,0,0,3,0,3,0,3
"908",908,"other","age.gp1","Tr","NoTrade","NoGroup",8,5,1,1,1,1,6,1,3,5,1,7,5,3
"909",909,"other","age.gp1","Tr","NoTrade","NoGroup",5,3,0,1,1,1,4,0,3,2,0,5,1,4
"910",910,"other","age.gp1","Tr","NoTrade","NoGroup",4,2,0,1,1,0,4,0,0,4,0,4,2,2
"911",911,"other","age.gp1","Tr","NoTrade","NoGroup",5,1,1,3,0,0,5,0,2,3,0,5,2,3
"912",912,"other","age.gp1","Tr","NoTrade","NoGroup",7,6,1,0,0,0,7,0,5,2,0,7,2,5
"913",913,"other","age.gp1","Tr","NoTrade","NoGroup",5,3,1,0,1,0,5,0,1,4,0,5,2,3
"914",914,"other","age.gp1","Tr","NoTrade","NoGroup",4,3,0,0,1,0,4,0,3,1,0,4,1,3
"915",915,"other","age.gp1","Tr","NoTrade","NoGroup",3,2,1,0,0,0,3,0,1,2,0,3,1,2
"916",916,"other","age.gp1","Tr","NoTrade","NoGroup",4,3,0,1,0,0,4,0,0,4,1,3,2,2
"917",917,"white","age.gp1","NoTr","Trade","NoGroup",7,5,1,1,0,1,3,3,1,6,2,5,6,1
"918",918,"white","age.gp1","NoTr","Trade","NoGroup",10,2,1,4,3,1,9,0,4,6,0,10,3,7
"919",919,"white","age.gp1","NoTr","Trade","NoGroup",15,12,0,3,0,1,12,2,1,14,2,13,5,10
"920",920,"white","age.gp1","NoTr","Trade","NoGroup",8,7,0,1,0,0,3,5,1,7,3,5,6,2
"921",921,"white","age.gp1","NoTr","Trade","NoGroup",7,5,2,0,0,0,5,2,1,6,1,6,2,5
"922",922,"white","age.gp2","NoTr","NoTrade","NoGroup",8,0,3,4,1,1,7,0,5,3,0,8,5,3
"923",923,"white","age.gp2","NoTr","NoTrade","NoGroup",8,1,3,2,2,0,7,1,4,4,0,8,4,4
"924",924,"white","age.gp2","NoTr","NoTrade","NoGroup",7,0,2,1,4,2,5,0,1,6,1,6,4,3
"925",925,"white","age.gp2","NoTr","NoTrade","NoGroup",13,3,5,3,2,0,10,3,8,5,2,11,9,4
"926",926,"white","age.gp2","NoTr","NoTrade","NoGroup",7,1,3,2,1,0,6,1,3,4,1,6,7,0
"927",927,"white","age.gp3","NoTr","NoTrade","NoGroup",7,0,4,2,1,0,6,1,2,5,0,7,3,4
"928",928,"white","age.gp3","NoTr","NoTrade","NoGroup",11,1,5,3,2,1,8,2,7,4,2,9,9,2
"929",929,"white","age.gp3","NoTr","NoTrade","NoGroup",1,0,1,0,0,0,1,0,1,0,0,1,1,0
"930",930,"white","age.gp3","NoTr","NoTrade","NoGroup",3,0,2,0,1,0,3,0,1,2,0,3,1,2
"931",931,"white","age.gp3","NoTr","NoTrade","NoGroup",8,1,2,2,3,0,7,1,4,4,0,8,5,3
"932",932,"white","age.gp3","NoTr","NoTrade","NoGroup",12,2,5,3,2,3,7,2,6,6,2,10,8,4
"933",933,"white","age.gp3","NoTr","NoTrade","NoGroup",7,1,2,3,1,1,6,0,7,0,1,6,5,2
"934",934,"white","age.gp3","NoTr","NoTrade","NoGroup",8,0,5,3,0,1,7,0,3,5,2,6,6,2
"935",935,"white","age.gp3","NoTr","NoTrade","NoGroup",10,0,3,1,6,0,9,1,4,6,0,10,6,4
"936",936,"white","age.gp3","NoTr","NoTrade","NoGroup",7,1,3,1,2,0,7,0,3,4,0,7,5,2
"937",937,"white","age.gp3","NoTr","NoTrade","NoGroup",6,1,2,2,1,0,5,1,2,4,0,6,5,1
"938",938,"white","age.gp3","NoTr","NoTrade","NoGroup",6,1,2,1,2,1,4,1,1,5,1,5,4,2
"939",939,"white","age.gp3","NoTr","NoTrade","NoGroup",6,2,0,1,3,0,5,1,0,6,1,5,5,1
"940",940,"white","age.gp3","NoTr","NoTrade","NoGroup",10,3,5,0,2,2,6,2,5,5,3,7,6,4
"941",941,"white","age.gp3","NoTr","NoTrade","NoGroup",5,0,0,3,2,0,5,0,2,3,0,5,4,1
"942",942,"white","age.gp3","Tr","NoTrade","Group",18,2,7,3,6,0,16,2,9,9,1,17,13,5
"943",943,"white","age.gp3","Tr","NoTrade","Group",15,2,8,3,2,0,15,0,10,5,2,13,12,3
"944",944,"white","age.gp3","Tr","NoTrade","Group",24,1,6,9,8,3,19,2,8,16,1,23,15,9
"945",945,"white","age.gp3","Tr","NoTrade","Group",17,0,2,9,6,1,15,1,6,11,1,16,12,5
"946",946,"white","age.gp3","Tr","NoTrade","Group",16,0,5,7,4,1,14,1,5,11,2,14,10,6
"947",947,"white","age.gp3","Tr","NoTrade","Group",19,4,7,5,3,0,16,3,7,12,3,16,13,6
"948",948,"white","age.gp3","Tr","NoTrade","Group",15,1,5,2,7,1,13,1,5,10,2,13,11,4
"949",949,"white","age.gp3","Tr","NoTrade","Group",18,2,10,2,4,2,15,1,5,13,1,17,15,3
"950",950,"white","age.gp3","Tr","NoTrade","Group",23,4,6,10,3,4,17,2,6,17,2,21,12,11
"951",951,"white","age.gp3","Tr","NoTrade","Group",19,3,5,6,5,2,16,1,9,10,1,18,14,5
"952",952,"white","age.gp3","Tr","NoTrade","Group",12,3,4,1,4,1,10,1,5,7,0,12,9,3
"953",953,"white","age.gp3","Tr","NoTrade","Group",26,3,14,7,2,2,22,2,12,14,3,23,19,7
"954",954,"white","age.gp3","Tr","NoTrade","Group",22,2,6,6,8,3,19,0,7,15,0,22,11,11
"955",955,"white","age.gp3","Tr","NoTrade","Group",15,2,5,6,2,1,14,0,8,7,1,14,12,3
"956",956,"white","age.gp3","Tr","NoTrade","Group",21,1,9,5,6,2,19,0,6,15,1,20,12,9
"957",957,"black","age.gp2","Tr","NoTrade","NoGroup",12,0,7,1,4,6,5,1,3,9,1,11,5,7
"958",958,"black","age.gp2","Tr","NoTrade","NoGroup",11,0,7,2,2,5,4,2,4,7,1,10,5,6
