,Unnamed: 0,node,ethcat,agecat,treat,Trade_sex,Group_sex,degree,age.gp1,age.gp2,age.gp3,age.gp4,black,white,other,Tr,NoTr,Trade,NoTrade,Group,NoGroup
1212,1213,1213,white,age.gp4,NoTr,NoTrade,NoGroup,6,1,1,1,3,0,5,1,2,4,1,5,5,1
1216,1217,1217,white,age.gp4,NoTr,NoTrade,NoGroup,4,0,0,0,4,0,4,0,2,2,0,4,4,0
1225,1226,1226,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,1,2,4,0,7,0,3,4,0,7,6,1
1296,1297,1297,white,age.gp4,NoTr,NoTrade,Group,17,0,4,3,10,0,16,1,6,11,0,17,12,5
1579,1580,1580,white,age.gp4,Tr,NoTrade,Group,11,1,1,4,5,3,7,1,1,10,1,10,8,3
1582,1583,1583,white,age.gp4,Tr,NoTrade,Group,11,2,6,1,2,0,8,3,5,6,0,11,6,5
1768,1769,1769,black,age.gp4,NoTr,NoTrade,NoGroup,3,0,0,0,3,1,2,0,1,2,0,3,3,0
1880,1881,1881,other,age.gp1,NoTr,NoTrade,Group,13,6,2,2,3,2,11,0,3,10,0,13,8,5
2558,2559,2559,white,age.gp4,NoTr,NoTrade,Group,5,0,2,2,1,1,3,1,2,3,0,5,2,3
338,339,339,white,age.gp1,NoTr,Trade,Group,18,11,2,0,5,0,14,4,7,11,1,17,13,5
688,689,689,white,age.gp4,Tr,NoTrade,Group,12,0,0,2,10,1,11,0,3,9,0,12,10,2
1791,1792,1792,white,age.gp4,Tr,NoTrade,Group,9,1,0,3,5,0,9,0,2,7,0,9,4,5
1826,1827,1827,black,age.gp4,NoTr,NoTrade,NoGroup,6,1,1,1,3,3,3,0,1,5,1,5,2,4
1963,1964,1964,white,age.gp4,NoTr,NoTrade,Group,10,1,2,2,5,0,9,1,5,5,2,8,6,4
2258,2259,2259,white,age.gp4,Tr,NoTrade,Group,10,0,2,1,7,0,9,1,3,7,0,10,7,3
2733,2734,2734,black,age.gp3,NoTr,NoTrade,NoGroup,5,0,2,0,3,1,4,0,0,5,0,5,3,2
77,78,78,white,age.gp4,NoTr,NoTrade,Group,10,1,2,1,6,3,7,0,4,6,1,9,8,2
1033,1034,1034,black,age.gp4,NoTr,NoTrade,NoGroup,3,0,0,0,3,2,1,0,0,3,1,2,3,0
1371,1372,1372,black,age.gp4,NoTr,NoTrade,Group,11,2,3,1,5,7,3,1,1,10,0,11,5,6
1740,1741,1741,white,age.gp3,Tr,NoTrade,Group,21,1,11,5,4,0,18,3,8,13,0,21,12,9
1937,1938,1938,white,age.gp4,NoTr,NoTrade,Group,13,0,1,1,11,1,11,1,3,10,0,13,10,3
78,79,79,white,age.gp4,NoTr,NoTrade,Group,9,0,3,2,4,0,8,1,5,4,0,9,6,3
806,807,807,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,1,4,2,0,7,0,2,5,0,7,4,3
1080,1081,1081,white,age.gp4,NoTr,NoTrade,Group,7,0,3,0,4,1,6,0,3,4,0,7,5,2
1600,1601,1601,white,age.gp2,Tr,NoTrade,NoGroup,15,2,6,2,5,1,14,0,7,8,4,11,10,5
1737,1738,1738,white,age.gp3,Tr,NoTrade,Group,21,0,8,8,5,3,18,0,6,15,0,21,12,9
1923,1924,1924,other,age.gp2,NoTr,NoTrade,NoGroup,4,0,2,0,2,1,3,0,2,2,0,4,2,2
2032,2033,2033,white,age.gp4,Tr,NoTrade,Group,17,4,2,3,8,1,13,3,1,16,1,16,9,8
79,80,80,white,age.gp4,NoTr,NoTrade,Group,10,0,1,2,7,1,9,0,4,6,0,10,7,3
100,101,101,white,age.gp3,NoTr,NoTrade,Group,8,3,1,1,3,1,6,1,2,6,1,7,6,2
231,232,232,white,age.gp2,Tr,NoTrade,Group,21,1,7,6,7,3,17,1,9,12,2,19,12,9
306,307,307,white,age.gp4,NoTr,NoTrade,Group,10,0,3,1,6,1,9,0,2,8,2,8,6,4
326,327,327,white,age.gp4,NoTr,NoTrade,Group,12,1,2,2,7,0,10,2,6,6,0,12,7,5
687,688,688,white,age.gp4,Tr,NoTrade,Group,14,0,5,2,7,0,12,2,7,7,0,14,11,3
1608,1609,1609,white,age.gp3,Tr,NoTrade,NoGroup,9,1,3,2,3,2,7,0,5,4,1,8,6,3
2438,2439,2439,white,age.gp4,NoTr,NoTrade,NoGroup,5,0,1,0,4,0,5,0,3,2,0,5,4,1
90,91,91,white,age.gp4,NoTr,NoTrade,Group,13,0,5,2,6,1,11,1,6,7,0,13,11,2
1061,1062,1062,white,age.gp4,NoTr,NoTrade,Group,11,0,3,0,8,0,11,0,3,8,0,11,10,1
2586,2587,2587,white,age.gp4,NoTr,NoTrade,Group,11,0,1,2,8,0,11,0,5,6,0,11,10,1
2872,2873,2873,white,age.gp1,NoTr,NoTrade,Group,34,17,9,3,5,7,17,10,9,25,2,32,15,19
2936,2937,2937,white,age.gp4,NoTr,NoTrade,Group,19,1,4,3,11,2,14,3,5,14,0,19,15,4
488,489,489,black,age.gp4,NoTr,NoTrade,NoGroup,4,0,0,1,3,3,1,0,0,4,0,4,2,2
937,938,938,white,age.gp3,NoTr,NoTrade,NoGroup,6,1,2,1,2,1,4,1,1,5,1,5,4,2
1070,1071,1071,white,age.gp4,NoTr,NoTrade,Group,16,1,3,4,8,1,14,1,2,14,0,16,13,3
1341,1342,1342,white,age.gp1,Tr,NoTrade,NoGroup,9,3,2,3,1,0,8,1,4,5,1,8,7,2
1719,1720,1720,white,age.gp2,NoTr,NoTrade,Group,24,1,9,5,9,1,22,1,7,17,2,22,15,9
2775,2776,2776,white,age.gp3,NoTr,NoTrade,Group,18,4,7,2,5,1,15,2,10,8,2,16,13,5
82,83,83,white,age.gp4,NoTr,NoTrade,Group,16,0,3,4,9,1,14,1,3,13,1,15,10,6
253,254,254,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,0,1,0,1,0,0,1,0,1,1,0
325,326,326,white,age.gp4,NoTr,NoTrade,Group,13,1,3,3,6,2,10,1,1,12,0,13,9,4
577,578,578,other,age.gp4,NoTr,NoTrade,NoGroup,5,0,2,0,3,1,4,0,0,5,0,5,2,3
674,675,675,white,age.gp4,Tr,NoTrade,Group,11,0,2,4,5,0,10,1,2,9,0,11,9,2
678,679,679,white,age.gp4,Tr,NoTrade,Group,18,2,1,4,11,2,15,1,2,16,0,18,11,7
836,837,837,white,age.gp2,NoTr,NoTrade,Group,30,2,11,9,8,2,28,0,15,15,0,30,19,11
936,937,937,white,age.gp3,NoTr,NoTrade,NoGroup,6,1,2,2,1,0,5,1,2,4,0,6,5,1
1001,1002,1002,white,age.gp4,NoTr,NoTrade,NoGroup,6,0,0,1,5,0,6,0,4,2,0,6,4,2
1673,1674,1674,white,age.gp2,Tr,NoTrade,NoGroup,11,1,8,0,2,0,10,1,5,6,0,11,7,4
2233,2234,2234,black,age.gp4,NoTr,Trade,Group,8,0,3,1,4,4,4,0,1,7,2,6,8,0
2781,2782,2782,white,age.gp3,NoTr,NoTrade,Group,15,1,5,5,4,0,14,1,6,9,1,14,12,3
228,229,229,white,age.gp2,Tr,NoTrade,Group,32,2,16,7,7,4,27,1,10,22,1,31,21,11
776,777,777,white,age.gp4,NoTr,NoTrade,NoGroup,7,1,2,1,3,0,7,0,3,4,1,6,5,2
1412,1413,1413,white,age.gp3,NoTr,NoTrade,Group,13,0,6,3,4,0,12,1,5,8,2,11,11,2
1982,1983,1983,white,age.gp4,Tr,NoTrade,NoGroup,7,0,2,2,3,0,7,0,2,5,0,7,7,0
2268,2269,2269,white,age.gp4,Tr,NoTrade,Group,12,0,2,1,9,0,10,2,3,9,0,12,9,3
2576,2577,2577,white,age.gp4,NoTr,NoTrade,Group,17,1,5,5,6,1,15,1,6,11,1,16,16,1
2695,2696,2696,white,age.gp4,NoTr,NoTrade,Group,14,0,4,2,8,1,12,1,2,12,0,14,10,4
2863,2864,2864,white,age.gp2,Tr,NoTrade,Group,26,1,10,5,10,0,23,3,9,17,3,23,18,8
84,85,85,white,age.gp4,NoTr,NoTrade,Group,18,1,1,2,14,1,16,1,7,11,0,18,12,6
318,319,319,white,age.gp4,NoTr,NoTrade,Group,15,2,2,5,6,0,14,1,4,11,1,14,10,5
430,431,431,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,1,2,4,2,4,1,0,7,0,7,3,4
552,553,553,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,0,0,7,0,7,0,2,5,0,7,5,2
849,850,850,other,age.gp2,Tr,NoTrade,Group,12,2,1,5,4,1,11,0,1,11,1,11,10,2
1564,1565,1565,white,age.gp4,Tr,NoTrade,Group,8,0,2,1,5,1,7,0,3,5,0,8,6,2
1580,1581,1581,white,age.gp4,Tr,NoTrade,Group,14,1,6,4,3,0,13,1,4,10,1,13,10,4
1722,1723,1723,white,age.gp1,Tr,NoTrade,NoGroup,13,7,4,0,2,1,10,2,3,10,4,9,9,4
1933,1934,1934,white,age.gp4,NoTr,NoTrade,Group,10,1,0,1,8,1,9,0,3,7,0,10,9,1
1946,1947,1947,white,age.gp4,NoTr,NoTrade,Group,5,0,3,1,1,0,4,1,3,2,0,5,3,2
2041,2042,2042,white,age.gp4,Tr,NoTrade,Group,14,0,2,5,7,1,13,0,4,10,3,11,11,3
2044,2045,2045,white,age.gp4,Tr,NoTrade,Group,10,1,1,3,5,1,9,0,2,8,0,10,7,3
2433,2434,2434,white,age.gp4,NoTr,NoTrade,NoGroup,4,0,0,0,4,0,4,0,1,3,0,4,2,2
2445,2446,2446,white,age.gp4,NoTr,NoTrade,NoGroup,6,1,1,0,4,0,6,0,2,4,0,6,4,2
2573,2574,2574,white,age.gp4,NoTr,NoTrade,Group,16,0,2,5,9,2,14,0,6,10,3,13,12,4
591,592,592,other,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,0,1,0,1,0,0,1,0,1,1,0
1232,1233,1233,white,age.gp4,NoTr,NoTrade,NoGroup,5,0,1,0,4,0,5,0,3,2,0,5,5,0
1469,1470,1470,white,age.gp1,NoTr,NoTrade,NoGroup,15,6,3,2,4,0,13,2,5,10,2,13,13,2
1685,1686,1686,white,age.gp4,NoTr,Trade,NoGroup,1,0,0,0,1,0,1,0,0,1,0,1,1,0
1913,1914,1914,other,age.gp2,NoTr,NoTrade,NoGroup,4,0,1,1,2,2,2,0,1,3,0,4,3,1
2040,2041,2041,white,age.gp4,Tr,NoTrade,Group,8,1,1,1,5,1,6,1,0,8,1,7,6,2
2127,2128,2128,white,age.gp3,NoTr,NoTrade,Group,17,0,4,4,9,1,15,1,4,13,1,16,13,4
2386,2387,2387,white,age.gp2,Tr,NoTrade,Group,16,1,10,1,4,3,11,2,5,11,1,15,10,6
2500,2501,2501,other,age.gp1,NoTr,NoTrade,NoGroup,4,3,0,0,1,1,2,1,0,4,0,4,2,2
86,87,87,white,age.gp4,NoTr,NoTrade,Group,9,1,2,0,6,1,7,1,2,7,1,8,6,3
316,317,317,white,age.gp4,NoTr,NoTrade,Group,11,0,1,1,9,0,10,1,5,6,0,11,6,5
2054,2055,2055,white,age.gp4,Tr,NoTrade,Group,13,1,2,2,8,4,7,2,2,11,0,13,6,7
2189,2190,2190,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,0,0,3,1,2,0,1,2,0,3,2,1
2201,2202,2202,white,age.gp4,NoTr,NoTrade,NoGroup,5,1,1,1,2,0,4,1,3,2,0,5,4,1
2236,2237,2237,black,age.gp4,NoTr,Trade,Group,5,0,0,1,4,2,3,0,1,4,1,4,4,1
2289,2290,2290,other,age.gp2,Tr,NoTrade,Group,14,1,7,3,3,2,12,0,7,7,3,11,11,3
2384,2385,2385,white,age.gp1,NoTr,NoTrade,NoGroup,14,9,0,2,3,0,12,2,3,11,2,12,7,7
87,88,88,white,age.gp4,NoTr,NoTrade,Group,8,0,3,1,4,0,7,1,5,3,1,7,3,5
111,112,112,white,age.gp3,NoTr,NoTrade,NoGroup,14,1,7,3,3,3,10,1,5,9,2,12,11,3
230,231,231,white,age.gp2,Tr,NoTrade,Group,20,1,12,4,3,0,18,2,12,8,2,18,14,6
860,861,861,other,age.gp2,Tr,NoTrade,Group,14,1,6,4,3,4,10,0,3,11,1,13,9,5
1706,1707,1707,white,age.gp4,NoTr,Trade,NoGroup,1,0,0,0,1,0,1,0,0,1,0,1,1,0
1966,1967,1967,white,age.gp4,Tr,NoTrade,NoGroup,9,1,3,0,5,1,7,1,2,7,0,9,4,5
1970,1971,1971,white,age.gp4,Tr,NoTrade,NoGroup,5,1,1,1,2,0,4,1,2,3,1,4,3,2
2196,2197,2197,white,age.gp4,NoTr,NoTrade,NoGroup,9,1,1,1,6,4,4,1,1,8,1,8,5,4
88,89,89,white,age.gp4,NoTr,NoTrade,Group,10,1,2,3,4,1,8,1,3,7,0,10,6,4
145,146,146,white,age.gp3,NoTr,NoTrade,Group,23,3,9,3,8,2,18,3,8,15,2,21,14,9
929,930,930,white,age.gp3,NoTr,NoTrade,NoGroup,3,0,2,0,1,0,3,0,1,2,0,3,1,2
1037,1038,1038,black,age.gp4,NoTr,NoTrade,NoGroup,5,0,2,1,2,3,2,0,0,5,1,4,3,2
1132,1133,1133,other,age.gp1,NoTr,NoTrade,NoGroup,4,2,1,0,1,0,4,0,1,3,0,4,2,2
1328,1329,1329,white,age.gp3,NoTr,NoTrade,NoGroup,4,2,0,0,2,0,3,1,1,3,1,3,3,1
1707,1708,1708,white,age.gp2,Tr,NoTrade,Group,22,3,8,5,6,0,20,2,9,13,3,19,15,7
89,90,90,white,age.gp4,NoTr,NoTrade,Group,12,0,3,2,7,1,10,1,5,7,0,12,8,4
319,320,320,white,age.gp4,NoTr,NoTrade,Group,11,0,5,0,6,2,8,1,2,9,0,11,7,4
423,424,424,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,0,1,0,1,0,0,1,0,1,1,0
588,589,589,other,age.gp4,NoTr,NoTrade,NoGroup,4,1,2,0,1,2,2,0,1,3,0,4,2,2
692,693,693,white,age.gp4,Tr,NoTrade,Group,15,3,3,1,8,2,12,1,1,14,1,14,11,4
828,829,829,white,age.gp3,NoTr,NoTrade,NoGroup,11,1,2,4,4,0,9,2,4,7,1,10,8,3
1287,1288,1288,white,age.gp4,NoTr,NoTrade,Group,14,1,2,3,8,1,12,1,6,8,2,12,11,3
1773,1774,1774,white,age.gp4,Tr,NoTrade,Group,11,2,2,2,5,2,7,2,4,7,2,9,7,4
1803,1804,1804,white,age.gp4,Tr,NoTrade,Group,16,2,2,0,12,1,15,0,5,11,0,16,10,6
2167,2168,2168,black,age.gp2,NoTr,NoTrade,NoGroup,9,2,1,2,4,4,5,0,2,7,3,6,6,3
2738,2739,2739,white,age.gp2,Tr,NoTrade,Group,22,1,8,8,5,1,18,3,6,16,1,21,15,7
2842,2843,2843,white,age.gp2,Tr,NoTrade,Group,15,2,5,4,4,2,12,1,5,10,2,13,8,7
195,196,196,white,age.gp2,Tr,NoTrade,NoGroup,10,2,2,3,3,0,10,0,2,8,0,10,7,3
298,299,299,white,age.gp4,NoTr,NoTrade,Group,7,0,3,1,3,1,6,0,3,4,0,7,5,2
582,583,583,other,age.gp4,NoTr,NoTrade,NoGroup,3,0,1,0,2,0,3,0,1,2,0,3,3,0
955,956,956,white,age.gp3,Tr,NoTrade,Group,21,1,9,5,6,2,19,0,6,15,1,20,12,9
967,968,968,white,age.gp2,Tr,NoTrade,Group,21,1,11,4,5,1,20,0,7,14,3,18,16,5
1586,1587,1587,white,age.gp4,Tr,NoTrade,Group,17,4,1,5,7,0,17,0,8,9,1,16,12,5
2791,2792,2792,white,age.gp2,NoTr,NoTrade,Group,14,1,5,5,3,0,13,1,10,4,0,14,9,5
91,92,92,white,age.gp3,NoTr,NoTrade,Group,23,1,11,6,5,3,18,2,9,14,1,22,16,7
140,141,141,white,age.gp2,NoTr,NoTrade,NoGroup,6,0,1,2,3,2,4,0,1,5,0,6,4,2
284,285,285,white,age.gp2,Tr,NoTrade,Group,20,1,11,4,4,2,14,4,8,12,0,20,13,7
312,313,313,white,age.gp4,NoTr,NoTrade,Group,6,0,0,1,5,0,6,0,0,6,0,6,4,2
467,468,468,black,age.gp3,NoTr,Trade,Group,15,0,4,6,5,6,9,0,6,9,2,13,10,5
854,855,855,other,age.gp2,Tr,NoTrade,Group,9,1,5,3,0,0,9,0,6,3,0,9,7,2
1013,1014,1014,white,age.gp1,NoTr,NoTrade,NoGroup,12,7,3,2,0,1,9,2,2,10,2,10,8,4
1074,1075,1075,white,age.gp4,NoTr,NoTrade,Group,16,0,4,6,6,1,14,1,5,11,0,16,11,5
1210,1211,1211,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,0,2,1,0,3,0,0,3,1,2,3,0
1243,1244,1244,white,age.gp2,Tr,NoTrade,NoGroup,5,1,1,1,2,2,2,1,1,4,0,5,3,2
1438,1439,1439,white,age.gp3,Tr,NoTrade,NoGroup,8,0,2,3,3,1,7,0,2,6,0,8,7,1
1502,1503,1503,white,age.gp4,NoTr,NoTrade,NoGroup,4,1,0,2,1,0,4,0,0,4,0,4,4,0
1550,1551,1551,white,age.gp3,NoTr,NoTrade,Group,12,1,4,4,3,2,10,0,5,7,1,11,7,5
2060,2061,2061,white,age.gp3,Tr,NoTrade,Group,22,3,9,6,4,4,16,2,10,12,1,21,14,8
2096,2097,2097,black,age.gp3,NoTr,NoTrade,NoGroup,6,1,2,3,0,1,4,1,1,5,1,5,4,2
2247,2248,2248,white,age.gp4,Tr,NoTrade,Group,11,0,1,5,5,2,9,0,2,9,1,10,7,4
2303,2304,2304,other,age.gp2,Tr,NoTrade,Group,9,1,5,3,0,0,9,0,4,5,0,9,6,3
2524,2525,2525,white,age.gp2,Tr,NoTrade,Group,23,2,14,3,4,1,19,3,8,15,1,22,18,5
2609,2610,2610,black,age.gp2,NoTr,NoTrade,Group,22,2,8,5,7,11,10,1,5,17,1,21,13,9
2746,2747,2747,white,age.gp2,NoTr,NoTrade,Group,33,5,20,5,3,0,27,6,17,16,2,31,25,8
287,288,288,white,age.gp1,NoTr,NoTrade,NoGroup,10,4,3,3,0,0,8,2,2,8,0,10,4,6
778,779,779,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,1,0,0,1,0,0,1,0,1,1,0
841,842,842,white,age.gp2,Tr,NoTrade,NoGroup,8,2,3,2,1,1,5,2,1,7,1,7,4,4
1099,1100,1100,white,age.gp2,NoTr,NoTrade,Group,18,1,7,8,2,2,13,3,4,14,2,16,10,8
1383,1384,1384,white,age.gp1,NoTr,NoTrade,NoGroup,9,4,1,4,0,0,8,1,1,8,1,8,6,3
1439,1440,1440,white,age.gp3,Tr,NoTrade,NoGroup,10,0,2,5,3,1,9,0,3,7,0,10,6,4
1578,1579,1579,white,age.gp4,Tr,NoTrade,Group,10,0,3,3,4,1,9,0,3,7,2,8,9,1
2299,2300,2300,other,age.gp2,Tr,NoTrade,Group,15,0,7,5,3,1,14,0,4,11,3,12,14,1
2597,2598,2598,white,age.gp3,NoTr,NoTrade,Group,20,2,7,6,5,1,16,3,8,12,0,20,9,11
2660,2661,2661,white,age.gp2,NoTr,NoTrade,Group,25,1,10,11,3,2,23,0,7,18,0,25,18,7
93,94,94,white,age.gp3,NoTr,NoTrade,Group,19,2,9,4,4,0,12,7,8,11,0,19,14,5
103,104,104,white,age.gp3,NoTr,NoTrade,Group,14,2,8,4,0,0,13,1,9,5,1,13,9,5
570,571,571,other,age.gp4,NoTr,NoTrade,NoGroup,3,0,0,1,2,0,3,0,0,3,0,3,3,0
848,849,849,other,age.gp2,Tr,NoTrade,Group,15,0,5,7,3,3,12,0,4,11,1,14,11,4
858,859,859,other,age.gp2,Tr,NoTrade,Group,8,0,3,5,0,1,7,0,3,5,1,7,7,1
1134,1135,1135,white,age.gp2,Tr,NoTrade,Group,31,4,14,9,4,2,23,6,14,17,4,27,24,7
1149,1150,1150,white,age.gp4,NoTr,NoTrade,NoGroup,4,0,2,2,0,0,3,1,1,3,0,4,2,2
1789,1790,1790,white,age.gp4,Tr,NoTrade,Group,18,1,2,4,11,3,14,1,8,10,1,17,14,4
1870,1871,1871,other,age.gp1,NoTr,NoTrade,Group,9,4,2,3,0,1,8,0,2,7,0,9,2,7
1959,1960,1960,white,age.gp4,NoTr,NoTrade,Group,14,2,1,4,7,3,10,1,2,12,2,12,11,3
2120,2121,2121,white,age.gp3,NoTr,NoTrade,Group,20,2,11,5,2,1,17,2,6,14,2,18,14,6
2132,2133,2133,other,age.gp2,NoTr,NoTrade,NoGroup,4,1,1,1,1,0,4,0,2,2,0,4,2,2
2281,2282,2282,other,age.gp2,Tr,NoTrade,Group,3,0,1,2,0,0,3,0,1,2,0,3,3,0
2522,2523,2523,white,age.gp2,Tr,NoTrade,Group,17,1,6,7,3,1,15,1,6,11,1,16,9,8
2604,2605,2605,white,age.gp3,NoTr,NoTrade,Group,23,3,10,5,5,4,19,0,11,12,1,22,18,5
2774,2775,2775,white,age.gp3,NoTr,NoTrade,Group,7,0,2,4,1,0,7,0,1,6,0,7,6,1
2914,2915,2915,other,age.gp1,NoTr,NoTrade,NoGroup,5,2,1,2,0,0,5,0,2,3,2,3,4,1
94,95,95,white,age.gp3,NoTr,NoTrade,Group,28,4,11,5,8,4,21,3,10,18,1,27,17,11
117,118,118,white,age.gp3,NoTr,NoTrade,NoGroup,10,2,3,3,2,1,9,0,0,10,1,9,6,4
156,157,157,white,age.gp1,NoTr,NoTrade,Group,27,9,5,9,4,1,24,2,6,21,2,25,18,9
203,204,204,other,age.gp2,Tr,NoTrade,NoGroup,7,0,3,2,2,1,6,0,3,4,1,6,6,1
267,268,268,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,1,3,3,2,5,0,2,5,2,5,6,1
509,510,510,white,age.gp2,Tr,NoTrade,NoGroup,12,1,7,3,1,1,8,3,7,5,1,11,8,4
599,600,600,other,age.gp4,NoTr,NoTrade,NoGroup,3,0,0,1,2,0,3,0,0,3,0,3,1,2
1020,1021,1021,white,age.gp2,NoTr,Trade,Group,23,4,8,7,4,3,19,1,11,12,3,20,19,4
1051,1052,1052,black,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,1,0,0,1,0,0,1,0,1,1,0
1088,1089,1089,black,age.gp2,Tr,NoTrade,NoGroup,12,1,6,5,0,9,3,0,2,10,1,11,5,7
1098,1099,1099,white,age.gp2,NoTr,NoTrade,Group,32,3,12,12,5,0,30,2,11,21,1,31,21,11
1627,1628,1628,white,age.gp1,NoTr,NoTrade,NoGroup,7,4,0,3,0,0,6,1,0,7,2,5,5,2
1746,1747,1747,black,age.gp4,NoTr,NoTrade,NoGroup,4,0,0,2,2,2,2,0,0,4,1,3,3,1
1790,1791,1791,white,age.gp4,Tr,NoTrade,Group,16,0,3,4,9,3,13,0,4,12,2,14,11,5
1842,1843,1843,black,age.gp3,NoTr,NoTrade,NoGroup,2,0,0,2,0,1,1,0,0,2,0,2,1,1
1874,1875,1875,other,age.gp1,NoTr,NoTrade,Group,10,5,0,3,2,1,9,0,1,9,1,9,5,5
1899,1900,1900,white,age.gp1,Tr,NoTrade,NoGroup,10,8,1,1,0,0,7,3,2,8,0,10,3,7
2059,2060,2060,white,age.gp3,Tr,NoTrade,Group,19,2,5,6,6,5,13,1,4,15,2,17,11,8
2387,2388,2388,white,age.gp2,Tr,NoTrade,Group,20,2,6,9,3,1,17,2,8,12,1,19,15,5
2693,2694,2694,white,age.gp4,NoTr,NoTrade,Group,14,0,4,5,5,3,11,0,6,8,0,14,8,6
2709,2710,2710,white,age.gp4,NoTr,NoTrade,Group,11,3,1,1,6,0,11,0,2,9,1,10,8,3
644,645,645,other,age.gp1,NoTr,Trade,Group,15,7,0,4,4,1,14,0,5,10,2,13,10,5
865,866,866,other,age.gp2,Tr,NoTrade,Group,7,0,5,2,0,1,6,0,3,4,0,7,5,2
1854,1855,1855,white,age.gp3,NoTr,NoTrade,Group,16,3,7,3,3,1,12,3,6,10,3,13,11,5
2065,2066,2066,white,age.gp3,Tr,NoTrade,Group,19,3,6,4,6,2,16,1,8,11,2,17,14,5
2519,2520,2520,black,age.gp2,NoTr,NoTrade,Group,15,1,7,5,2,8,7,0,8,7,3,12,7,8
2560,2561,2561,white,age.gp4,NoTr,NoTrade,Group,17,1,2,2,12,2,14,1,7,10,2,15,13,4
96,97,97,white,age.gp3,NoTr,NoTrade,Group,17,0,6,6,5,3,14,0,5,12,1,16,11,6
166,167,167,white,age.gp3,NoTr,NoTrade,NoGroup,14,4,3,5,2,2,11,1,3,11,2,12,10,4
417,418,418,white,age.gp4,NoTr,NoTrade,NoGroup,6,0,2,1,3,0,6,0,1,5,0,6,6,0
945,946,946,white,age.gp3,Tr,NoTrade,Group,16,0,5,7,4,1,14,1,5,11,2,14,10,6
1102,1103,1103,black,age.gp2,NoTr,NoTrade,NoGroup,5,0,2,3,0,3,2,0,0,5,0,5,1,4
1426,1427,1427,white,age.gp2,Tr,NoTrade,Group,26,3,9,10,4,1,21,4,10,16,2,24,15,11
2200,2201,2201,white,age.gp4,NoTr,NoTrade,NoGroup,5,0,0,3,2,1,4,0,0,5,1,4,3,2
2418,2419,2419,white,age.gp3,NoTr,Trade,Group,17,1,7,5,4,1,14,2,6,11,2,15,13,4
2843,2844,2844,white,age.gp2,Tr,NoTrade,Group,20,1,9,5,5,2,16,2,7,13,0,20,13,7
97,98,98,white,age.gp3,NoTr,NoTrade,Group,16,1,4,5,6,3,13,0,7,9,2,14,15,1
1409,1410,1410,white,age.gp3,NoTr,NoTrade,Group,21,2,7,5,7,1,18,2,7,14,2,19,13,8
1561,1562,1562,white,age.gp4,Tr,NoTrade,Group,10,0,2,3,5,0,10,0,4,6,0,10,8,2
1567,1568,1568,white,age.gp4,Tr,NoTrade,Group,16,0,3,4,9,3,12,1,3,13,4,12,9,7
1576,1577,1577,white,age.gp4,Tr,NoTrade,Group,14,0,2,4,8,4,10,0,4,10,0,14,7,7
1950,1951,1951,white,age.gp4,NoTr,NoTrade,Group,11,2,0,1,8,0,11,0,2,9,1,10,6,5
2072,2073,2073,white,age.gp3,Tr,NoTrade,Group,15,0,5,6,4,1,14,0,4,11,3,12,12,3
2515,2516,2516,black,age.gp2,NoTr,NoTrade,Group,18,1,7,6,4,9,7,2,5,13,2,16,11,7
2528,2529,2529,white,age.gp2,NoTr,NoTrade,Group,26,1,8,12,5,4,20,2,6,20,2,24,17,9
2849,2850,2850,black,age.gp3,NoTr,NoTrade,Group,7,0,1,5,1,4,3,0,1,6,0,7,3,4
2851,2852,2852,black,age.gp3,NoTr,NoTrade,Group,10,2,3,4,1,5,5,0,2,8,0,10,8,2
130,131,131,white,age.gp1,NoTr,NoTrade,NoGroup,7,1,2,2,2,0,6,1,2,5,0,7,6,1
651,652,652,black,age.gp2,NoTr,NoTrade,NoGroup,6,0,1,3,2,1,4,1,2,4,0,6,5,1
834,835,835,white,age.gp3,NoTr,NoTrade,NoGroup,5,0,2,3,0,0,5,0,1,4,0,5,3,2
866,867,867,other,age.gp2,Tr,NoTrade,Group,11,0,3,4,4,2,9,0,3,8,0,11,7,4
1401,1402,1402,white,age.gp3,NoTr,NoTrade,Group,14,1,6,4,3,0,14,0,3,11,0,14,9,5
1414,1415,1415,black,age.gp2,NoTr,NoTrade,NoGroup,8,0,4,4,0,0,8,0,3,5,1,7,7,1
1487,1488,1488,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,1,1,1,1,2,0,1,2,0,3,3,0
1794,1795,1795,white,age.gp4,Tr,NoTrade,Group,13,2,3,2,6,0,12,1,4,9,0,13,7,6
2063,2064,2064,white,age.gp3,Tr,NoTrade,Group,25,2,10,7,6,1,22,2,9,16,0,25,19,6
2245,2246,2246,white,age.gp4,Tr,NoTrade,Group,14,1,0,6,7,0,13,1,2,12,1,13,10,4
